交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W49,2,98.0,98.2,94.5,96.5,-1.5,-1.53,3.78,0.12,0.06,0.11,0.06,,,,,0.0,,,,,
24W48,5,96.0,98.0,92.0,98.0,2.0,2.08,6.25,0.54,0.11,0.51,0.1,,,,,0.0,,,,,
24W47,5,95.8,100.0,93.1,96.0,0.2,0.21,7.2,0.25,0.05,0.24,0.05,,,,,0.0,,,,,
24W46,5,99.8,100.5,95.2,95.8,-4.0,-4.01,5.31,0.13,0.03,0.13,0.03,,,,,0.0,,,,,
24W45,5,107.0,106.5,98.0,99.8,-7.2,-6.73,7.94,0.24,0.05,0.24,0.05,,,,,0.0,,,,,
24W44,4,108.0,109.0,103.0,107.0,-1.0,-0.93,5.56,0.2,0.05,0.21,0.05,,,,,0.0,,,,,
24W43,5,92.9,109.0,92.0,108.0,15.1,16.3,18.3,0.43,0.09,0.43,0.09,,,,,0.0,,,,,
24W42,5,95.7,94.8,92.1,92.9,-2.8,-2.93,2.82,0.12,0.02,0.11,0.02,,,,,0.0,,,,,
24W41,4,93.2,95.7,90.4,95.7,2.5,2.68,5.69,0.15,0.04,0.14,0.03,,,,,0.0,,,,,
24W40,3,99.5,99.5,90.5,93.2,-6.3,-6.33,9.05,0.25,0.08,0.24,0.08,0.0,0.0,-0.02,-0.02,0.0,,,,,
24W39,5,104.5,105.0,98.8,99.5,-5.0,-4.78,5.93,0.3,0.06,0.3,0.06,0.0,0.0,-0.01,-0.01,0.0,,,,,
24W38,4,101.5,107.0,100.5,104.5,3.0,2.96,6.4,0.08,0.02,0.08,0.02,,,,,0.0,,,,,
24W37,5,101.0,102.0,99.0,101.5,0.5,0.5,2.97,0.1,0.02,0.1,0.02,,,,,0.0,,,,,
24W36,5,109.5,109.5,99.0,101.0,-8.5,-7.76,9.59,0.31,0.06,0.32,0.06,0.0,0.0,0.0,0.0,0.0,,,,,
24W35,5,106.5,110.5,104.5,109.5,3.0,2.82,5.63,0.22,0.04,0.23,0.05,0.0,0.0,-0.01,-0.01,0.0,,,,,
24W34,5,109.0,111.0,104.5,106.5,-2.5,-2.29,5.96,0.24,0.05,0.26,0.05,0.0,0.0,0.0,0.0,0.0,,,,,
24W33,5,113.0,111.0,106.0,109.0,-4.0,-3.54,4.42,0.23,0.05,0.25,0.05,0.0,0.0,-0.01,-0.01,0.0,,,,,
