交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W48,4,76.4,79.6,74.6,77.5,1.8,2.38,6.61,13.1,3.27,10.1,2.53,1.99,0,0.01,2.0,8.16,-0.32,13.8,0.38,3.64,26.3
24W47,5,78.8,80.1,71.3,75.7,-3.0,-3.81,11.2,21.2,4.23,16.0,3.2,0.06,0,-0.36,-0.3,7.75,0.85,14.2,-1.2,3.26,23.0
24W46,5,63.3,79.2,63.3,78.7,15.9,25.3,25.3,42.9,8.59,30.2,6.05,13.7,0,-0.26,13.5,7.76,-2.98,13.3,1.51,4.46,33.5
24W45,5,65.2,69.7,62.0,62.8,-1.8,-2.79,11.9,25.8,5.16,16.9,3.37,1.38,0,-0.25,1.14,4.73,-1.95,16.3,0.37,2.94,18.1
24W44,4,61.5,64.8,59.3,64.6,3.2,5.21,8.96,8.35,2.09,5.21,1.3,0.12,0,-0.12,-0.01,4.47,-0.06,18.2,0.33,2.58,14.1
24W43,5,57.5,61.5,57.0,61.4,4.1,7.16,7.85,5.41,1.08,3.23,0.65,0.51,0,-0.08,0.43,4.4,0.01,18.3,0.88,2.25,12.3
24W42,5,56.0,58.9,55.3,57.3,0.9,1.6,6.38,4.74,0.95,2.71,0.54,-0.74,0,0.02,-0.72,4.25,0.56,18.3,0.7,1.36,7.46
24W41,4,55.7,59.2,55.7,56.4,0.7,1.26,6.28,6.04,1.51,3.45,0.86,-0.08,0,-0.03,-0.11,4.39,0.38,17.7,0.21,0.67,3.76
24W40,3,60.1,60.6,55.3,55.7,-5.0,-8.24,8.73,6.41,2.14,3.71,1.24,-0.18,0,0.11,-0.08,4.15,0.18,17.3,0.29,0.46,2.65
24W39,5,62.7,63.7,60.0,60.7,-2.0,-3.19,5.9,8.25,1.65,5.09,1.02,0.14,0,-0.1,0.04,4.18,0.93,17.2,0.01,0.17,1.01
24W38,4,67.5,67.9,61.1,62.7,-4.2,-6.28,10.2,9.47,2.37,6.12,1.53,0.34,0,0.66,1.0,4.15,-0.76,16.2,0.01,0.16,0.99
24W37,5,63.1,67.5,61.7,66.9,2.6,4.04,9.02,17.7,3.54,11.4,2.29,1.89,0,1.14,3.03,4.07,0.08,17.0,-1.15,0.15,0.87
24W36,5,56.4,65.1,52.7,64.3,8.0,14.2,22.0,90.3,18.1,50.9,10.2,4.02,0,4.47,8.49,3.7,10.4,16.9,-2.09,1.3,7.68
24W35,5,53.5,56.5,52.8,56.3,2.9,5.43,6.93,6.44,1.29,3.53,0.71,-0.33,0,0.45,0.12,3.05,-0.11,6.49,0.14,3.39,52.2
24W34,5,51.6,63.4,50.7,53.4,3.1,6.16,25.2,17.2,3.44,9.61,1.92,-1.21,0,0.06,-1.15,3.02,0.46,6.6,-3.03,3.26,49.3
24W33,5,50.6,52.8,47.0,50.3,-0.3,-0.59,11.5,18.7,3.73,9.37,1.87,0.96,0,-1.7,-0.74,3.23,2.07,6.14,5.01,6.28,102.0
24W32,5,54.9,56.5,49.0,50.6,-6.7,-11.7,13.1,10.1,2.01,5.19,1.04,0.82,0,0.03,0.84,2.91,-0.14,4.07,0.82,1.27,31.1
24W31,5,61.9,61.9,57.3,57.3,-4.1,-6.68,7.49,4.73,0.95,2.83,0.57,-0.31,0,-0.02,-0.33,2.73,0.22,4.21,0.0,0.44,10.5
24W30,3,61.9,66.5,61.3,61.4,-0.4,-0.65,8.41,3.85,1.28,2.45,0.82,-0.91,0,-0.13,-1.04,2.8,0.21,3.99,-0.01,0.44,11.0
24W29,5,67.5,68.7,60.0,61.8,-5.2,-7.76,13.0,8.65,1.73,5.46,1.09,-0.16,0,-0.18,-0.33,2.96,-0.08,3.78,0.1,0.45,11.8
24W28,5,71.2,74.7,66.6,67.0,0.4,0.6,12.2,14.7,2.93,10.5,2.1,2.08,0,-0.15,1.93,3.0,0.92,3.86,0.33,0.34,8.94
24W27,5,59.5,67.0,58.6,66.6,7.6,12.9,14.2,5.92,1.18,3.76,0.75,0.31,0,-0.06,0.25,2.55,0.28,2.93,0.01,0.02,0.58
24W26,5,52.5,61.0,52.5,59.0,6.6,12.6,16.2,10.1,2.01,5.76,1.15,1.85,0,-0.2,1.65,2.49,1.0,2.65,0.01,0.01,0.34
24W25,5,49.9,53.1,47.5,52.4,2.3,4.59,11.2,5.77,1.15,2.92,0.58,1.49,0,-0.04,1.45,1.97,0.52,1.64,0.0,0.0,0.0
24W24,4,48.2,51.1,48.2,50.1,2.0,4.16,6.03,4.71,1.18,2.35,0.59,0.34,0,-0.15,0.18,1.64,1.12,1.12,0.0,0.0,0.0
24W23,5,47.35,51.7,47.25,48.1,0.35,0.73,9.32,6.58,1.32,3.27,0.65,0.05,0,-0.01,0.04,1.56,0.0,0.0,0.0,0.0,0.0
24W22,5,42.9,49.3,42.5,47.75,4.9,11.4,15.9,6.05,1.21,2.78,0.56,1.23,0,-0.08,1.15,1.55,,,,,
24W21,5,44.6,44.7,41.8,42.85,-1.65,-3.71,6.52,4.15,0.83,1.78,0.36,0.22,0,-0.05,0.17,1.28,,,,,
24W20,5,43.6,46.15,43.2,44.5,0.9,2.06,6.77,6.66,1.33,2.97,0.59,0.19,0,0.02,0.2,1.23,,,,,
24W19,5,40.95,44.8,39.6,43.6,6.35,17.0,14.0,13.4,2.68,5.6,1.12,0.54,0,-0.18,0.36,1.26,,,,,
24W18,4,36.55,37.95,35.8,37.25,1.55,4.34,6.02,3.6,0.9,1.32,0.33,-0.01,0,0.01,0.0,1.14,,,,,
24W17,5,33.6,36.0,32.95,35.7,2.45,7.37,9.17,3.8,0.76,1.32,0.26,0.63,0,-0.09,0.54,1.14,,,,,
24W16,5,34.0,34.1,32.45,33.25,-0.75,-2.21,4.85,1.89,0.38,0.63,0.13,-0.26,0,-0.11,-0.36,1.0,,,,,
24W15,5,32.8,34.85,32.8,34.0,1.1,3.34,6.23,3.43,0.69,1.17,0.23,0.92,0,0.39,1.31,1.06,,,,,
24W14,3,33.5,33.85,32.6,32.9,-0.6,-1.79,3.73,1.02,0.34,0.34,0.11,-0.03,0,-0.02,-0.05,0.85,,,,,
24W13,5,31.8,33.65,31.65,33.5,1.95,6.18,6.34,2.51,0.5,0.82,0.16,0.84,0,0.22,1.06,0.86,,,,,
24W12,5,32.4,32.6,31.25,31.55,-0.85,-2.62,4.17,2.19,0.44,0.7,0.14,-0.69,0,-0.03,-0.73,0.67,,,,,
24W11,5,30.95,33.0,30.95,32.4,1.35,4.35,6.6,3.32,0.66,1.07,0.21,0.78,0,-0.3,0.48,0.83,,,,,
24W10,5,34.05,34.15,30.85,31.05,-3.15,-9.21,9.65,6.78,1.36,2.17,0.43,-1.37,0,0.12,-1.25,0.66,,,,,
24W09,4,33.55,34.65,33.3,34.2,0.6,1.79,4.02,2.3,0.57,0.78,0.2,0.24,0,-0.01,0.23,0.96,,,,,
24W08,5,33.85,34.15,32.9,33.6,-0.25,-0.74,3.69,2.38,0.48,0.8,0.16,0.09,0,-0.02,0.07,0.91,,,,,
24W07,2,34.0,34.65,32.95,33.85,-0.25,-0.73,4.99,1.7,0.85,0.57,0.29,0.04,0,-0.01,0.04,0.89,,,,,
24W06,1,33.5,34.7,33.1,34.1,1.05,3.18,4.84,1.44,1.44,0.49,0.49,0.48,0,-0.01,0.47,0.88,,,,,
24W05,5,32.35,33.05,32.05,33.05,0.75,2.32,3.1,1.71,0.34,0.56,0.11,0.22,0,0.0,0.22,0.77,,,,,
