交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W48,4,88.3,90.3,78.2,87.9,-0.4,-0.45,13.7,0.89,0.22,0.76,0.19,-0.01,0.0,0.0,-0.01,0.18,,,,,
24W47,5,89.0,94.2,79.2,88.3,-0.7,-0.79,16.9,0.93,0.19,0.8,0.16,0.0,0.0,0.0,0.0,0.19,,,,,
24W46,5,108.5,108.0,85.7,89.0,-19.5,-18.0,20.6,1.13,0.23,1.08,0.22,0.0,0.0,0.0,0.0,0.19,,,,,
24W45,5,104.5,110.5,101.0,108.5,4.0,3.83,9.09,0.19,0.04,0.2,0.04,0.01,0.0,0.0,0.01,0.19,,,,,
24W44,4,111.0,113.0,103.5,104.5,-6.5,-5.86,8.56,0.29,0.07,0.31,0.08,-0.01,0.0,0.0,-0.01,0.18,,,,,
24W43,5,101.5,120.5,101.0,111.0,9.5,9.36,19.2,0.56,0.11,0.63,0.13,0.0,0.0,0.0,0.0,0.19,,,,,
24W42,5,105.0,105.0,100.5,101.5,-3.5,-3.33,4.29,0.25,0.05,0.26,0.05,0.0,0.0,0.0,0.0,0.19,,,,,
24W41,4,112.5,113.0,101.5,105.0,-7.5,-6.67,10.2,0.5,0.13,0.53,0.13,,,,,0.18,,,,,
24W40,3,113.0,118.0,110.5,112.5,-0.5,-0.44,6.64,0.13,0.04,0.15,0.05,,,,,0.18,,,,,
24W39,5,116.0,116.0,111.5,113.0,-3.0,-2.59,3.88,0.29,0.06,0.33,0.07,0.0,0.0,0.0,0.0,0.18,,,,,
24W38,4,111.5,125.0,112.0,116.0,4.5,4.04,11.7,0.28,0.07,0.33,0.08,0.02,0.0,0.0,0.02,0.19,,,,,
24W37,5,110.0,112.5,101.5,111.5,1.5,1.36,10.0,0.35,0.07,0.38,0.08,0.01,0.0,0.0,0.01,0.16,,,,,
24W36,5,117.5,120.0,106.0,110.0,-7.5,-6.38,11.9,0.29,0.06,0.33,0.07,-0.01,0.0,0.0,-0.01,0.16,,,,,
24W35,5,113.0,120.5,110.5,117.5,4.5,3.98,8.85,0.35,0.07,0.4,0.08,0.01,0.0,0.0,0.01,0.16,,,,,
24W34,5,126.5,128.5,109.5,113.0,-13.5,-10.7,15.0,0.58,0.12,0.68,0.14,-0.01,0.0,0.0,-0.01,0.15,,,,,
24W33,5,132.0,135.5,123.0,126.5,-5.5,-4.17,9.47,0.2,0.04,0.26,0.05,0.0,0.0,0.0,0.0,0.16,,,,,
